checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
nochecking,6,existingpaid,furniture/equipment,1766,<100,1<=X<4,1,malemar/wid,none,2,lifeinsurance,21,none,rent,1,skilled,1,none,yes,good
<0,18,existingpaid,furniture/equipment,2473,<100,unemployed,4,malesingle,none,1,car,25,none,own,1,unemp/unskillednonres,1,none,yes,bad
nochecking,12,existingpaid,business,1542,<100,4<=X<7,2,malesingle,none,4,car,36,none,own,1,skilled,1,yes,yes,good
nochecking,18,critical/otherexistingcredit,usedcar,3850,<100,4<=X<7,3,malesingle,none,1,car,27,none,own,2,skilled,1,none,yes,good
<0,18,existingpaid,furniture/equipment,3650,<100,<1,1,femalediv/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,good
<0,36,existingpaid,furniture/equipment,3446,<100,>=7,4,malesingle,none,2,car,42,none,own,1,skilled,2,none,yes,bad
0<=X<200,18,existingpaid,furniture/equipment,3001,<100,4<=X<7,2,femalediv/dep/mar,none,4,realestate,40,none,rent,1,skilled,1,none,yes,good
nochecking,36,existingpaid,newcar,3079,noknownsavings,1<=X<4,4,malesingle,none,4,realestate,36,none,own,1,skilled,1,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,6070,<100,>=7,3,malesingle,none,4,car,33,none,own,2,skilled,1,yes,yes,good
nochecking,10,critical/otherexistingcredit,furniture/equipment,2146,<100,<1,1,femalediv/dep/mar,none,3,realestate,23,none,rent,2,skilled,1,none,yes,good
nochecking,60,critical/otherexistingcredit,newcar,13756,noknownsavings,>=7,2,malesingle,none,4,noknownproperty,63,bank,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,60,allpaid,other,14782,100<=X<500,>=7,3,femalediv/dep/mar,none,4,noknownproperty,60,bank,forfree,2,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,48,allpaid,business,7685,<100,4<=X<7,2,femalediv/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
nochecking,18,delayedpreviously,radio/tv,2320,<100,unemployed,2,malemar/wid,none,3,realestate,34,none,own,2,skilled,1,none,yes,good
nochecking,7,delayedpreviously,radio/tv,846,noknownsavings,>=7,3,malesingle,none,4,noknownproperty,36,none,forfree,1,skilled,1,none,yes,good
0<=X<200,36,existingpaid,newcar,14318,<100,>=7,4,malesingle,none,2,noknownproperty,57,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,6,critical/otherexistingcredit,newcar,362,100<=X<500,1<=X<4,4,femalediv/dep/mar,none,4,car,52,none,own,2,unskilledresident,1,none,yes,good
<0,20,existingpaid,furniture/equipment,2212,noknownsavings,4<=X<7,4,malesingle,none,4,car,39,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,existingpaid,usedcar,12976,<100,unemployed,3,femalediv/dep/mar,none,4,noknownproperty,38,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,22,existingpaid,newcar,1283,noknownsavings,4<=X<7,4,femalediv/dep/mar,none,4,lifeinsurance,25,none,rent,1,skilled,1,none,yes,good
>=200,12,existingpaid,newcar,1330,<100,<1,4,malesingle,none,1,realestate,26,none,own,1,skilled,1,none,yes,good
nochecking,30,delayedpreviously,business,4272,100<=X<500,1<=X<4,2,malesingle,none,2,lifeinsurance,26,none,own,2,unskilledresident,1,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,2238,<100,1<=X<4,2,femalediv/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes,good
nochecking,18,existingpaid,radio/tv,1126,noknownsavings,<1,4,femalediv/dep/mar,none,2,realestate,21,none,rent,1,skilled,1,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,furniture/equipment,7374,<100,unemployed,4,malesingle,none,4,lifeinsurance,40,stores,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,15,critical/otherexistingcredit,business,2326,500<=X<1000,1<=X<4,2,malesingle,none,4,car,27,bank,own,1,skilled,1,none,yes,good
nochecking,9,existingpaid,business,1449,<100,4<=X<7,3,femalediv/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,good
nochecking,18,existingpaid,newcar,1820,<100,1<=X<4,2,malemar/wid,none,2,lifeinsurance,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,12,existingpaid,furniture/equipment,983,>=1000,<1,1,femalediv/dep/mar,none,4,realestate,19,none,rent,1,unskilledresident,1,none,yes,good
<0,36,existingpaid,newcar,3249,<100,4<=X<7,2,malesingle,none,4,noknownproperty,39,bank,forfree,1,highqualif/selfemp/mgmt,2,yes,yes,good
<0,6,critical/otherexistingcredit,radio/tv,1957,<100,4<=X<7,1,femalediv/dep/mar,none,4,car,31,none,own,1,skilled,1,none,yes,good
nochecking,9,critical/otherexistingcredit,furniture/equipment,2406,<100,unemployed,2,malesingle,none,3,car,31,none,own,1,highqualif/selfemp/mgmt,1,none,yes,good
0<=X<200,39,delayedpreviously,education,11760,100<=X<500,4<=X<7,2,malesingle,none,3,noknownproperty,32,none,rent,1,skilled,1,yes,yes,good
<0,12,existingpaid,furniture/equipment,2578,<100,unemployed,3,femalediv/dep/mar,none,4,noknownproperty,55,none,forfree,1,highqualif/selfemp/mgmt,1,none,yes,good
<0,36,critical/otherexistingcredit,furniture/equipment,2348,<100,1<=X<4,3,malemar/wid,none,2,lifeinsurance,46,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,existingpaid,newcar,1223,<100,>=7,1,malediv/sep,none,1,realestate,46,none,rent,2,skilled,1,none,yes,bad
nochecking,24,critical/otherexistingcredit,radio/tv,1516,>=1000,1<=X<4,4,femalediv/dep/mar,none,1,realestate,43,none,own,2,unskilledresident,1,none,yes,good
nochecking,18,existingpaid,radio/tv,1473,<100,<1,3,malemar/wid,none,4,realestate,39,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,business,1887,noknownsavings,1<=X<4,4,malemar/wid,none,4,realestate,28,bank,own,2,skilled,1,none,yes,good
nochecking,24,delayedpreviously,business,8648,<100,<1,2,malesingle,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
nochecking,14,delayedpreviously,newcar,802,<100,1<=X<4,4,malesingle,none,2,car,27,none,own,2,unskilledresident,1,none,yes,good
0<=X<200,18,delayedpreviously,newcar,2899,noknownsavings,>=7,4,malesingle,none,4,car,43,none,own,1,skilled,2,none,yes,good
0<=X<200,24,existingpaid,radio/tv,2039,<100,<1,1,malemar/wid,none,1,lifeinsurance,22,none,own,1,skilled,1,yes,yes,bad
nochecking,24,critical/otherexistingcredit,usedcar,2197,noknownsavings,4<=X<7,4,malesingle,none,4,car,43,none,own,2,skilled,2,yes,yes,good
<0,15,existingpaid,radio/tv,1053,<100,<1,4,malemar/wid,none,2,realestate,27,none,own,1,skilled,1,none,no,good
nochecking,24,existingpaid,radio/tv,3235,500<=X<1000,>=7,3,malediv/sep,none,2,car,26,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,12,critical/otherexistingcredit,newcar,939,500<=X<1000,4<=X<7,4,malemar/wid,none,2,realestate,28,none,own,3,skilled,1,yes,yes,bad
0<=X<200,24,existingpaid,radio/tv,1967,<100,>=7,4,femalediv/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes,good
nochecking,33,critical/otherexistingcredit,usedcar,7253,<100,4<=X<7,3,malesingle,none,2,car,35,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,business,2292,<100,unemployed,4,malesingle,none,2,car,42,stores,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,10,existingpaid,newcar,1597,500<=X<1000,1<=X<4,3,malesingle,none,2,noknownproperty,40,none,rent,1,unskilledresident,2,none,no,good
<0,24,existingpaid,newcar,1381,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,2,lifeinsurance,35,none,own,1,skilled,1,none,yes,bad
nochecking,36,critical/otherexistingcredit,usedcar,5842,<100,>=7,2,malesingle,none,2,lifeinsurance,35,none,own,2,skilled,2,yes,yes,good
<0,12,existingpaid,newcar,2579,<100,<1,4,malesingle,none,1,realestate,33,none,own,1,unskilledresident,2,none,yes,bad
<0,18,delayedpreviously,education,8471,noknownsavings,1<=X<4,1,femalediv/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
nochecking,21,existingpaid,newcar,2782,500<=X<1000,4<=X<7,1,femalediv/dep/mar,none,2,car,31,bank,own,1,highqualif/selfemp/mgmt,1,none,yes,good
0<=X<200,18,existingpaid,newcar,1042,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,2,lifeinsurance,33,none,own,1,skilled,1,none,yes,bad
nochecking,15,existingpaid,newcar,3186,>=1000,4<=X<7,2,femalediv/dep/mar,none,3,car,20,none,rent,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,usedcar,2028,noknownsavings,1<=X<4,4,malesingle,none,2,car,30,none,own,1,skilled,1,none,yes,good
0<=X<200,12,critical/otherexistingcredit,newcar,958,<100,4<=X<7,2,malesingle,none,3,realestate,47,none,own,2,unskilledresident,2,none,yes,good
nochecking,21,delayedpreviously,furniture/equipment,1591,100<=X<500,4<=X<7,4,malesingle,none,3,realestate,34,none,own,2,highqualif/selfemp/mgmt,1,none,yes,good
0<=X<200,12,existingpaid,furniture/equipment,2762,noknownsavings,>=7,1,femalediv/dep/mar,none,2,lifeinsurance,25,bank,own,1,skilled,1,yes,yes,bad
0<=X<200,18,existingpaid,usedcar,2779,<100,1<=X<4,1,malemar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
nochecking,28,critical/otherexistingcredit,radio/tv,2743,<100,>=7,4,malesingle,none,2,car,29,none,own,2,skilled,1,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,1149,>=1000,1<=X<4,4,malesingle,none,3,realestate,46,none,own,2,skilled,1,none,yes,good
nochecking,9,existingpaid,furniture/equipment,1313,<100,>=7,1,malesingle,none,4,car,20,none,own,1,skilled,1,none,yes,good
<0,18,critical/otherexistingcredit,repairs,1190,<100,unemployed,2,femalediv/dep/mar,none,4,noknownproperty,55,none,forfree,3,unemp/unskillednonres,2,none,yes,bad
nochecking,5,existingpaid,business,3448,<100,4<=X<7,1,malesingle,none,4,realestate,74,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,existingpaid,other,11328,<100,1<=X<4,2,malesingle,coapplicant,3,car,29,bank,own,2,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,6,critical/otherexistingcredit,furniture/equipment,1872,<100,unemployed,4,malesingle,none,4,noknownproperty,36,none,forfree,3,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,24,critical/otherexistingcredit,repairs,2058,<100,1<=X<4,4,malediv/sep,none,2,realestate,33,none,own,2,skilled,1,yes,yes,good
<0,9,existingpaid,furniture/equipment,2136,<100,1<=X<4,3,malesingle,none,2,realestate,25,none,own,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,1484,noknownsavings,1<=X<4,2,malemar/wid,none,1,realestate,25,none,own,1,skilled,1,yes,yes,bad
nochecking,6,existingpaid,repairs,660,500<=X<1000,4<=X<7,2,malemar/wid,none,4,realestate,23,none,rent,1,unskilledresident,1,none,yes,good
nochecking,24,critical/otherexistingcredit,newcar,1287,>=1000,>=7,4,femalediv/dep/mar,none,4,realestate,37,none,own,2,skilled,1,yes,yes,good
<0,42,critical/otherexistingcredit,repairs,3394,<100,unemployed,4,malesingle,coapplicant,4,car,65,none,own,2,unemp/unskillednonres,1,none,yes,good
>=200,12,allpaid,business,609,<100,<1,4,femalediv/dep/mar,none,1,realestate,26,none,own,1,unemp/unskillednonres,1,none,yes,bad
nochecking,12,existingpaid,newcar,1884,<100,>=7,4,malesingle,none,4,car,39,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,12,existingpaid,furniture/equipment,1620,<100,1<=X<4,2,femalediv/dep/mar,coapplicant,3,lifeinsurance,30,none,own,1,skilled,1,none,yes,good
0<=X<200,20,delayedpreviously,other,2629,<100,1<=X<4,2,malesingle,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
nochecking,12,existingpaid,education,719,<100,>=7,4,malesingle,none,4,car,41,bank,own,1,unskilledresident,2,none,yes,bad
0<=X<200,48,critical/otherexistingcredit,furniture/equipment,5096,<100,1<=X<4,2,femalediv/dep/mar,none,3,car,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,9,critical/otherexistingcredit,education,1244,noknownsavings,>=7,4,femalediv/dep/mar,none,4,lifeinsurance,41,none,rent,2,unskilledresident,1,none,yes,good
<0,36,existingpaid,newcar,1842,<100,<1,4,femalediv/dep/mar,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
0<=X<200,7,existingpaid,radio/tv,2576,<100,1<=X<4,2,malesingle,guarantor,2,realestate,35,none,own,1,skilled,1,none,yes,good
>=200,12,existingpaid,furniture/equipment,1424,noknownsavings,>=7,3,femalediv/dep/mar,none,4,realestate,55,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,15,delayedpreviously,repairs,1512,>=1000,1<=X<4,3,malemar/wid,none,3,lifeinsurance,61,stores,own,2,skilled,1,none,yes,bad
nochecking,36,critical/otherexistingcredit,usedcar,11054,noknownsavings,1<=X<4,4,malesingle,none,2,car,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,6,existingpaid,radio/tv,518,<100,1<=X<4,3,femalediv/dep/mar,none,1,realestate,29,none,own,1,skilled,1,none,yes,good
nochecking,12,nocredits/allpaid,furniture/equipment,2759,<100,>=7,2,malesingle,none,4,lifeinsurance,34,none,own,2,skilled,1,none,yes,good
nochecking,24,existingpaid,usedcar,2670,<100,>=7,4,malesingle,none,4,car,35,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,24,existingpaid,newcar,4817,<100,4<=X<7,2,malesingle,coapplicant,3,lifeinsurance,31,none,own,1,skilled,1,yes,yes,bad
nochecking,24,existingpaid,usedcar,2679,<100,<1,4,femalediv/dep/mar,none,1,noknownproperty,29,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,11,critical/otherexistingcredit,newcar,3905,<100,1<=X<4,2,malesingle,none,2,realestate,36,none,rent,2,skilled,2,none,yes,good
<0,12,existingpaid,usedcar,3386,<100,>=7,3,malesingle,none,4,noknownproperty,35,none,forfree,1,skilled,1,yes,yes,bad
<0,6,existingpaid,domesticappliance,343,<100,<1,4,femalediv/dep/mar,none,1,realestate,27,none,own,1,skilled,1,none,yes,good
nochecking,18,existingpaid,radio/tv,4594,<100,<1,3,malesingle,none,2,car,32,none,own,1,skilled,1,yes,yes,good
<0,36,existingpaid,furniture/equipment,3620,<100,1<=X<4,1,malesingle,guarantor,2,lifeinsurance,37,none,own,1,skilled,2,none,yes,good
<0,15,existingpaid,newcar,1721,<100,<1,2,malesingle,none,3,realestate,36,none,own,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,furniture/equipment,3017,<100,<1,3,femalediv/dep/mar,none,1,realestate,34,none,rent,1,highqualif/selfemp/mgmt,1,none,yes,good
0<=X<200,12,existingpaid,retraining,754,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,38,none,own,2,skilled,1,none,yes,good
nochecking,18,existingpaid,business,1950,<100,4<=X<7,4,malesingle,none,1,car,34,stores,own,2,skilled,1,yes,yes,good
<0,24,existingpaid,usedcar,2924,<100,1<=X<4,3,malesingle,guarantor,4,noknownproperty,63,bank,own,1,skilled,2,yes,yes,good
<0,24,delayedpreviously,radio/tv,1659,<100,<1,4,femalediv/dep/mar,none,2,car,29,none,rent,1,unskilledresident,1,yes,yes,bad
nochecking,48,delayedpreviously,radio/tv,7238,noknownsavings,>=7,3,malesingle,none,3,car,32,bank,own,2,skilled,2,none,yes,good
nochecking,33,delayedpreviously,business,2764,<100,1<=X<4,2,femalediv/dep/mar,none,2,car,26,none,own,2,skilled,1,yes,yes,good
nochecking,24,delayedpreviously,usedcar,4679,<100,4<=X<7,3,malesingle,none,3,car,35,none,own,2,unskilledresident,1,yes,yes,good
0<=X<200,24,existingpaid,radio/tv,3092,100<=X<500,<1,3,malemar/wid,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
<0,6,existingpaid,education,448,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,23,none,own,1,skilled,1,none,yes,bad
<0,9,existingpaid,newcar,654,<100,1<=X<4,4,malesingle,none,3,car,28,none,own,1,unskilledresident,1,none,yes,bad
nochecking,6,existingpaid,retraining,1238,noknownsavings,unemployed,4,malesingle,none,4,lifeinsurance,36,none,own,1,highqualif/selfemp/mgmt,2,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,radio/tv,1245,<100,1<=X<4,4,malemar/wid,none,2,car,33,none,own,1,skilled,1,none,yes,bad
<0,18,nocredits/allpaid,furniture/equipment,3114,<100,<1,1,femalediv/dep/mar,none,4,lifeinsurance,26,none,rent,1,skilled,1,none,yes,bad
nochecking,39,existingpaid,usedcar,2569,500<=X<1000,1<=X<4,4,malesingle,none,4,car,24,none,own,1,skilled,1,none,yes,good
>=200,24,existingpaid,radio/tv,5152,<100,4<=X<7,4,malesingle,none,2,car,25,bank,own,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,business,1037,100<=X<500,4<=X<7,3,malesingle,none,4,realestate,39,none,own,1,unskilledresident,1,none,yes,good
<0,15,critical/otherexistingcredit,furniture/equipment,1478,<100,>=7,4,malesingle,none,4,car,44,none,own,2,skilled,2,yes,yes,good
0<=X<200,12,critical/otherexistingcredit,radio/tv,3573,<100,1<=X<4,1,femalediv/dep/mar,none,1,realestate,23,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,existingpaid,newcar,1201,<100,<1,4,malesingle,none,1,lifeinsurance,26,none,own,1,skilled,1,none,yes,good
<0,30,existingpaid,furniture/equipment,3622,>=1000,>=7,4,femalediv/dep/mar,none,4,lifeinsurance,57,none,rent,2,skilled,1,yes,yes,good
nochecking,15,delayedpreviously,furniture/equipment,960,>=1000,4<=X<7,3,femalediv/dep/mar,none,2,lifeinsurance,30,none,own,2,skilled,1,none,yes,good
nochecking,12,critical/otherexistingcredit,newcar,1163,500<=X<1000,1<=X<4,4,malesingle,none,4,realestate,44,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,delayedpreviously,newcar,1209,<100,unemployed,4,malesingle,none,4,lifeinsurance,47,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,12,existingpaid,radio/tv,3077,<100,1<=X<4,2,malesingle,none,4,car,52,none,own,1,skilled,1,yes,yes,good
nochecking,24,existingpaid,newcar,3757,<100,>=7,4,femalediv/dep/mar,coapplicant,4,noknownproperty,62,none,forfree,1,skilled,1,yes,yes,good
nochecking,10,existingpaid,newcar,1418,100<=X<500,1<=X<4,3,malesingle,none,2,realestate,35,none,rent,1,unskilledresident,1,none,no,good
nochecking,6,existingpaid,newcar,3518,<100,1<=X<4,2,malesingle,guarantor,3,lifeinsurance,26,none,rent,1,skilled,1,none,yes,good
nochecking,12,critical/otherexistingcredit,radio/tv,1934,<100,>=7,2,malesingle,none,2,noknownproperty,26,none,own,2,skilled,1,none,yes,good
0<=X<200,27,nocredits/allpaid,business,8318,<100,>=7,2,femalediv/dep/mar,none,4,noknownproperty,42,none,forfree,2,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,6,critical/otherexistingcredit,radio/tv,1237,100<=X<500,1<=X<4,1,femalediv/dep/mar,none,1,lifeinsurance,27,none,own,2,skilled,1,none,yes,good
0<=X<200,6,existingpaid,radio/tv,368,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,38,none,own,1,skilled,1,none,yes,good
<0,12,critical/otherexistingcredit,newcar,2122,<100,1<=X<4,3,malesingle,none,2,realestate,39,none,rent,2,unskilledresident,2,none,no,good
<0,24,existingpaid,furniture/equipment,2996,noknownsavings,1<=X<4,2,malemar/wid,none,4,car,20,none,own,1,skilled,1,none,yes,bad
0<=X<200,36,existingpaid,furniture/equipment,9034,100<=X<500,<1,4,malesingle,coapplicant,1,noknownproperty,29,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,24,critical/otherexistingcredit,furniture/equipment,1585,<100,4<=X<7,4,malesingle,none,3,lifeinsurance,40,none,own,2,skilled,1,none,yes,good
0<=X<200,18,existingpaid,radio/tv,1301,<100,>=7,4,malemar/wid,guarantor,2,realestate,32,none,own,1,unskilledresident,1,none,yes,good
>=200,6,critical/otherexistingcredit,newcar,1323,100<=X<500,>=7,2,malediv/sep,none,4,car,28,none,own,2,skilled,2,yes,yes,good
<0,24,existingpaid,newcar,3123,<100,<1,4,femalediv/dep/mar,none,1,lifeinsurance,27,none,own,1,skilled,1,none,yes,bad
<0,36,existingpaid,usedcar,5493,<100,>=7,2,malesingle,none,4,noknownproperty,42,none,forfree,1,skilled,2,none,yes,good
>=200,9,existingpaid,radio/tv,1126,100<=X<500,>=7,2,malediv/sep,none,4,realestate,49,none,own,1,skilled,1,none,yes,good
0<=X<200,24,critical/otherexistingcredit,radio/tv,1216,100<=X<500,<1,4,malesingle,none,4,noknownproperty,38,bank,own,2,skilled,2,none,yes,bad
<0,24,existingpaid,newcar,1207,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,24,none,rent,1,skilled,1,none,yes,bad
nochecking,10,existingpaid,newcar,1309,noknownsavings,1<=X<4,4,malesingle,guarantor,4,lifeinsurance,27,none,own,1,unskilledresident,1,none,yes,bad
>=200,15,critical/otherexistingcredit,usedcar,2360,500<=X<1000,1<=X<4,2,malesingle,none,2,car,36,none,own,1,skilled,1,yes,yes,good
0<=X<200,15,allpaid,newcar,6850,100<=X<500,unemployed,1,malesingle,none,2,lifeinsurance,34,none,own,1,highqualif/selfemp/mgmt,2,yes,yes,bad
nochecking,24,existingpaid,radio/tv,1413,<100,1<=X<4,4,malemar/wid,none,2,lifeinsurance,28,none,own,1,skilled,1,none,yes,good
nochecking,39,existingpaid,usedcar,8588,100<=X<500,>=7,4,malesingle,none,2,car,45,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,12,existingpaid,newcar,759,<100,4<=X<7,4,malesingle,none,2,realestate,26,none,own,1,skilled,1,none,yes,bad
nochecking,36,existingpaid,usedcar,4686,<100,1<=X<4,2,malesingle,none,2,noknownproperty,32,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
>=200,15,existingpaid,business,2687,<100,4<=X<7,2,malesingle,none,4,lifeinsurance,26,none,rent,1,skilled,1,yes,yes,good
0<=X<200,12,delayedpreviously,radio/tv,585,<100,1<=X<4,4,malemar/wid,coapplicant,4,realestate,20,none,rent,2,skilled,1,none,yes,good
nochecking,24,existingpaid,newcar,2255,noknownsavings,<1,4,malesingle,none,1,lifeinsurance,54,none,own,1,skilled,1,none,yes,good
<0,6,critical/otherexistingcredit,newcar,609,<100,4<=X<7,4,femalediv/dep/mar,none,3,lifeinsurance,37,none,own,2,skilled,1,none,no,good
<0,6,critical/otherexistingcredit,newcar,1361,<100,<1,2,malesingle,none,4,realestate,40,none,own,1,unskilledresident,2,none,no,good
nochecking,36,critical/otherexistingcredit,furniture/equipment,7127,<100,<1,2,femalediv/dep/mar,none,4,lifeinsurance,23,none,rent,2,skilled,1,yes,yes,bad
<0,6,existingpaid,newcar,1203,100<=X<500,>=7,3,malesingle,none,2,lifeinsurance,43,none,own,1,skilled,1,yes,yes,good
nochecking,6,critical/otherexistingcredit,radio/tv,700,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,36,none,forfree,2,skilled,1,none,yes,good
nochecking,24,critical/otherexistingcredit,repairs,5507,<100,>=7,3,malesingle,none,4,noknownproperty,44,none,forfree,2,skilled,1,none,yes,good
<0,18,existingpaid,radio/tv,3190,<100,1<=X<4,2,femalediv/dep/mar,none,2,realestate,24,none,own,1,skilled,1,none,yes,bad
<0,48,nocredits/allpaid,furniture/equipment,7119,<100,1<=X<4,3,malesingle,none,4,noknownproperty,53,none,forfree,2,skilled,2,none,yes,bad
nochecking,24,existingpaid,usedcar,3488,100<=X<500,4<=X<7,3,femalediv/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,good
0<=X<200,18,existingpaid,radio/tv,1113,<100,1<=X<4,4,femalediv/dep/mar,guarantor,4,realestate,26,none,own,1,unskilledresident,2,none,yes,good
0<=X<200,26,existingpaid,usedcar,7966,<100,<1,2,malesingle,none,3,car,30,none,own,2,skilled,1,none,yes,good
nochecking,15,critical/otherexistingcredit,education,1532,100<=X<500,1<=X<4,4,femalediv/dep/mar,none,3,car,31,none,own,1,skilled,1,none,yes,good
nochecking,4,critical/otherexistingcredit,radio/tv,1503,<100,4<=X<7,2,malesingle,none,1,realestate,42,none,own,2,unskilledresident,2,none,yes,good
<0,36,existingpaid,radio/tv,2302,<100,1<=X<4,4,malediv/sep,none,4,car,31,none,rent,1,skilled,1,none,yes,bad
<0,6,existingpaid,newcar,662,<100,<1,3,malesingle,none,4,realestate,41,none,own,1,unskilledresident,2,yes,yes,good
0<=X<200,36,existingpaid,education,2273,<100,4<=X<7,3,malesingle,none,1,car,32,none,own,2,skilled,2,none,yes,good
0<=X<200,15,existingpaid,newcar,2631,100<=X<500,1<=X<4,2,femalediv/dep/mar,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
nochecking,12,delayedpreviously,usedcar,1503,<100,1<=X<4,4,malemar/wid,none,4,realestate,41,none,rent,1,skilled,1,none,yes,good
nochecking,24,existingpaid,radio/tv,1311,100<=X<500,4<=X<7,4,malemar/wid,none,3,lifeinsurance,26,none,own,1,skilled,1,yes,yes,good
nochecking,24,existingpaid,radio/tv,3105,noknownsavings,<1,4,malesingle,none,2,car,25,none,own,2,skilled,1,none,yes,good
>=200,21,critical/otherexistingcredit,education,2319,<100,<1,2,malediv/sep,none,1,car,33,none,rent,1,skilled,1,none,yes,bad
<0,6,existingpaid,newcar,1374,noknownsavings,unemployed,4,femalediv/dep/mar,none,3,lifeinsurance,75,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,furniture/equipment,3612,<100,>=7,3,femalediv/dep/mar,none,4,lifeinsurance,37,none,own,1,skilled,1,yes,yes,good
<0,48,existingpaid,newcar,7763,<100,>=7,4,malesingle,none,4,noknownproperty,42,bank,forfree,1,highqualif/selfemp/mgmt,1,none,yes,bad
>=200,18,existingpaid,furniture/equipment,3049,<100,<1,1,femalediv/dep/mar,none,1,lifeinsurance,45,stores,own,1,unskilledresident,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,1534,<100,<1,1,malemar/wid,none,1,realestate,23,none,rent,1,skilled,1,none,yes,bad
nochecking,24,delayedpreviously,newcar,2032,<100,>=7,4,malesingle,none,4,noknownproperty,60,none,forfree,2,skilled,1,yes,yes,good
<0,30,existingpaid,furniture/equipment,6350,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,31,none,own,1,skilled,1,none,yes,bad
>=200,18,existingpaid,furniture/equipment,2864,<100,1<=X<4,2,malesingle,none,1,realestate,34,none,own,1,unskilledresident,2,none,yes,bad
nochecking,12,critical/otherexistingcredit,newcar,1255,<100,>=7,4,malesingle,none,4,realestate,61,none,own,2,unskilledresident,1,none,yes,good
<0,24,delayedpreviously,newcar,1333,<100,unemployed,4,malesingle,none,2,realestate,43,none,forfree,2,skilled,2,none,yes,bad
nochecking,24,critical/otherexistingcredit,newcar,2022,<100,1<=X<4,4,femalediv/dep/mar,none,4,car,37,none,own,1,skilled,1,yes,yes,good
